size;nbIte;time;bandwith;prop;gflop
16384;20000;0.876372;182.465729;11.73262;94.967171
65536;20000;0.929349;688.257690;44.25525;358.214569
262144;20000;2.555873;1001.037598;64.36713;521.005798
1048576;20000;9.625584;1063.218872;68.36541;553.369019
4194304;20000;35.918362;1139.706909;73.28362;593.178467
16777216;20000;141.087326;1160.597656;74.62691;604.051392
67108864;20000;562.272583;1164.884277;74.90254;606.282410
